completion_tokens,content_chars,content_sha256,end_ts,error,finish_reason,http_code,latency_s,manifest_id,manifest_max_tokens,manifest_words,parse_ok,phase,prompt_tokens,shape,start_ts,total_tokens,valid_decode
1200,3285,43305bbe8bb035534be18d0067e13d1553c60677e5ca1f66aa9c93214b55e5ea,1784538370.0822303,,length,200,20.97167468070984,33,1200,429,True,B_decode,1555,B_decode,1784538349.1105556,2755,True
495,2397,51d9322680e0a3eeffbc5fde4641ebc08634ce16dfb32601bdf0be939a83d446,1784538366.7731438,,stop,200,17.65549898147583,34,1200,354,True,B_decode,1334,B_decode,1784538349.1176448,1829,True
518,2643,34c0bb2e0fed2e67caf30b540718ed26f39f6e9f011c4d5dd9e609873da09ea9,1784538367.041122,,stop,200,17.928830862045288,35,1200,425,True,B_decode,1543,B_decode,1784538349.112291,2061,True
524,2533,98475e7b3e0970062de991111cc40dc6001f551e3fdd85a0abbaf12e99466a14,1784538367.069189,,stop,200,17.953468084335327,36,1200,356,True,B_decode,1344,B_decode,1784538349.115721,1868,True
475,2315,5590ab14664b5924a5728807538de2875e66ff1adf67e11686158aa20403515e,1784538366.650764,,stop,200,17.534552574157715,37,1200,447,True,B_decode,1609,B_decode,1784538349.1162114,2084,True
700,3424,cb11c74a49f4423b0749232560f8cbfdc6827c495ff2c935f7e9d88e9c80fc9a,1784538368.2496405,,stop,200,19.138572216033936,38,1200,546,True,B_decode,1996,B_decode,1784538349.1110682,2696,True
673,3387,de66d97c902dbb82c1de4ce6807668660217c6144ee44587b093c9cc7731545f,1784538368.133674,,stop,200,19.02286434173584,39,1200,437,True,B_decode,1579,B_decode,1784538349.1108096,2252,True
480,2369,44ca5ff59619b814755efa9e3636ec1f359874c1338234f8950093494a452788,1784538366.8982303,,stop,200,17.77914524078369,40,1200,483,True,B_decode,1746,B_decode,1784538349.119085,2226,True
658,3253,20b1a589175912734e60f84e14c0cf442127232f84fcc118f4a1ef3c6da30ddf,1784538368.03729,,stop,200,18.918412446975708,41,1200,352,True,B_decode,1333,B_decode,1784538349.1188776,1991,True
934,4548,83e924409b7a8da226b9a9fefcfdc75d8801d36485a77b426c0f97a544c938e9,1784538369.1850543,,stop,200,20.067171335220337,42,1200,507,True,B_decode,1844,B_decode,1784538349.117883,2778,True
608,3031,348a4ce278436d1f9c53e01e21539ce9d724b55222dfb67e6a035a9d8d9e80b8,1784538367.7401454,,stop,200,18.628585815429688,43,1200,402,True,B_decode,1474,B_decode,1784538349.1115596,2082,True
677,3230,49f52ad0bed033a3fc8add0aab67086d73dedd06d0de5f3acd7ab656c3bcdc32,1784538368.1710923,,stop,200,19.05267310142517,44,1200,419,True,B_decode,1525,B_decode,1784538349.1184192,2202,True
677,3251,d82f6456513d0ef3347d600fbbfd006f06d6f175ff28ae47ac5623bf3ce89635,1784538368.1709952,,stop,200,19.05850124359131,45,1200,422,True,B_decode,1534,B_decode,1784538349.112494,2211,True
616,2985,527687307020c2ef59668ec9592439ff66a8ec16311ce78b4ddb9ca75da3a215,1784538367.954689,,stop,200,18.84140157699585,46,1200,537,True,B_decode,1968,B_decode,1784538349.1132874,2584,True
733,3398,df00a07893e8e7bc44a7d16f0e356e3407a73bcb3659abc982040b2ab5bfeae8,1784538368.510265,,stop,200,19.3964581489563,47,1200,369,True,B_decode,1375,B_decode,1784538349.113807,2108,True
457,2240,4d6dd6fc5a3384df961ac665e9093834bf401fbdacadbd3812f35fe94484df55,1784538366.4780133,,stop,200,17.366007089614868,48,1200,475,True,B_decode,1722,B_decode,1784538349.1120062,2179,True
580,2837,f2e0b1742a6d533273d0e46df2342c13a8d9906b1f7c60f72f990bd985a2080e,1784538367.6585355,,stop,200,18.542054414749146,49,1200,391,True,B_decode,1441,B_decode,1784538349.116481,2021,True
579,2926,3cc53d4090e1ce2b3ef28008d94de7f8f3dd861bee90aa1fc3b9371670e10e1a,1784538367.4835584,,stop,200,18.36903738975525,50,1200,532,True,B_decode,1952,B_decode,1784538349.114521,2531,True
685,3225,c3ae5188cd72aee6619f396d383e3b89da54f2b13b0597103a0d46ce1c507929,1784538368.2471528,,stop,200,19.1353816986084,51,1200,352,True,B_decode,1325,B_decode,1784538349.111771,2010,True
470,2344,624c8f16e4c4e26652e980ff195a1b6d2842c2746fa798af8ec157bc1a3d1002,1784538366.6165206,,stop,200,17.50233483314514,52,1200,508,True,B_decode,1858,B_decode,1784538349.1141858,2328,True
428,2145,7fbd81619ddec6b5960b6a08001cecad0f2c54c3291c7e5415009e489a2e3ed3,1784538366.182924,,stop,200,17.07006287574768,53,1200,506,True,B_decode,1851,B_decode,1784538349.1128612,2279,True
614,2998,94225d2cadba22a530efbb34d9bbea88a33a32d6bd4cf9f09b38b05b734da72e,1784538367.747219,,stop,200,18.629928827285767,54,1200,512,True,B_decode,1876,B_decode,1784538349.1172903,2490,True
724,3396,493e12a7d99b195a6e55f060083f70a0c37edc3e698c6860bc91415e06c6a5aa,1784538368.4213736,,stop,200,19.30444025993347,55,1200,405,True,B_decode,1483,B_decode,1784538349.1169333,2207,True
792,3823,62cab4a8aad1abcbb90e61e60e561089f7f4697c6af6a8b8505fe105d21816f2,1784538368.6871505,,stop,200,19.572095155715942,56,1200,403,True,B_decode,1477,B_decode,1784538349.1150553,2269,True
6000,19826,bb3728366dc76fb140752ababff4dcd4dd0952b242d17f6699e6fd9f97e2d654,1784538391.1741014,,length,200,24.063074827194214,57,6000,58,True,C_tail,283,C_tail,1784538367.1110265,6283,True
6000,30727,de1a7aa581f9e7118c82c37f884d54dea7f7b147d2cd526aa0b4eca5b0b0a1c9,1784538395.9037583,,length,200,25.794066905975342,58,6000,56,True,C_tail,276,C_tail,1784538370.1096914,6276,True
6000,16095,90908ac7e8d97e56082e4df670d03d03ac5da7b2bbb51b6771864e2d352cf818,1784538399.4154937,,length,200,26.305771112442017,59,6000,61,True,C_tail,297,C_tail,1784538373.1097226,6297,True
